date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:21	134/134	---MCZ	200	added ('OK')	text/plain	date:Fri,%2010%20Nov%202023%2011:24:29%20GMT	https://chapterone.qodeinteractive.com/robots.txt		(from )
18:24:23	272222/272222	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202023%2011:24:30%20GMT	https://chapterone.qodeinteractive.com/	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/index.html	(from )
18:24:23	88932/88932	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2003:23:49%20GMT	https://chapterone.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.6	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-includes/css/dist/block-library/style.minfc7a.css	(from https://chapterone.qodeinteractive.com/)
18:24:23	10435/10435	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:40:51%20GMT	https://chapterone.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=8.5.1	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style2ff6.css	(from https://chapterone.qodeinteractive.com/)
18:24:24	230625/230625	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:40:51%20GMT	https://chapterone.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=8.5.1	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style2ff6.css	(from https://chapterone.qodeinteractive.com/)
18:24:24	1325/1325	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:40:34%20GMT	https://chapterone.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css?ver=7.3.3	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-barba31.css	(from https://chapterone.qodeinteractive.com/)
18:24:24	49996/49996	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22bf2c8d329de1a8a1ccee5ccd085a2e7d%22	https://chapterone.qodeinteractive.com/feed/	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/feed/index.html	(from https://chapterone.qodeinteractive.com/)
18:24:24	2731/2731	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:40:19%20GMT	https://chapterone.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://chapterone.qodeinteractive.com/)
18:24:24	10038/10038	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2259c25207d174076df06fe4b160feeb55%22	https://chapterone.qodeinteractive.com/comments/feed/	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/comments/feed/index.html	(from https://chapterone.qodeinteractive.com/)
18:24:25	7504/7504	---MCZ	200	added ('OK')	text/css	etag:W/%2263c16c7d-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=6.0.6	C:/My%20Web%20Sites/duan/export.qodethemes.com/_toolbar/assets/css/rbt-modulesfc7a.css	(from https://chapterone.qodeinteractive.com/)
18:24:25	99657/99657	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:40:28%20GMT	https://chapterone.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=4.3.0	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.minb2f9.css	(from https://chapterone.qodeinteractive.com/)
18:24:26	13825/13825	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:40:28%20GMT	https://chapterone.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=4.3.0	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.minb2f9.css	(from https://chapterone.qodeinteractive.com/)
18:24:26	14965/14965	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:40:28%20GMT	https://chapterone.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=6.0.6	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.minfc7a.css	(from https://chapterone.qodeinteractive.com/)
18:24:26	665/665	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2010:16:22%20GMT	https://chapterone.qodeinteractive.com/wp-content/themes/chapterone/style.css?ver=6.0.6	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-content/themes/chapterone/stylefc7a.css	(from https://chapterone.qodeinteractive.com/)
18:24:27	517671/517671	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2010:16:21%20GMT	https://chapterone.qodeinteractive.com/wp-content/themes/chapterone/assets/css/modules.min.css?ver=6.0.6	C:/My%20Web%20Sites/duan/chapterone.qodeinteractive.com/wp-content/themes/chapterone/assets/css/modules.minfc7a.css	(from https://chapterone.qodeinteractive.com/)
